id,name,addressLine1,addressLine2,city,state,zip,contact,phone,fax,email,web,aircraft,course,notes,airport,country,instructors
150,"S2C, LLC",9 Allison Ln,,New Milford,CT,06776,"Aaron Ham, ATP, CFI",914-506-1126,,s2cllcofct@gmail.com,www.s2cllc.com,Pitts S2C,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics","S2C,LLC is a solely owned company based in Connecticut specializing in Aerobatic Training, Upset Training, Spin training and CFI Spin Endorsements. Introductory flights are also offered for those special occasions - PILOT\\\'S LICENSE NOT REQUIRED!","DXR -- Danbury, CT",USA,Aaron Ham: CFI
151,Summit Aviation,8187 Old White River,,Rogers,AR,72756,Don Witt,520-390-7889,,edonwitt@yahoo.com,upsetrecoveryarkansas.com,Citabria 7GCBC,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,"KASG -- Springdale, AR",USA,"Don Witt: CFI, Brian Grizzle: CFI"
152,Best Aerobatics,Pg Garcia Faria 81 p20/1,,Barcelona,Sp,08019,Alex Stegner,+34633801449,,info@bestaerobatics.com,BestAerobatics.com,Extra 330C and Sbach XA41,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",,"LEIG -- Barcelona, ",Spain,""
153,"Aero-Tech Services, Inc,",500 Airport Road,Suite P,Lititz,PA,17517,Amber Lynn,717.394.2675,717.394.5737,info@aerotechservices.com,htp://aerotechservices.com,Super Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training",,"KLNS -- Lititz, PA",USA,""
154,Cirrus Aviation,8191 Tamiami Trail,,Sarasota,FL,34243,Michael Gallatin,914.957.8718,941.360.8071,msgllc@comcast.net,,Pitts S2B,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",,"SRQ -- Sarasota, FL",USA,""
155,Training Squadron,351 Airport Road,,Novato,CA,94945,Anandeep Pannu,425.891.8519,,info@trainingsquadron.com,www.trainingsquadron.com,"Bellanca Decathlon, Fairchild PT-19","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",,"DVO -- Novato, CA",USA,""
156,FlipSide Aerobatics,11700 West Avra Valley Road,,Marana,AZ,,Will Allen,425.785.9922,,will@flipsideaerobatics.com,www.flipsideaerobatics.com,Pitts S-2B,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics","Available for contest flights with safety pilot if current customer, based at Renton WA May-Sept, Tucson in winter","KAVQ -- Marana, AZ",USA,""
157,SkyThrills,Post Office Box 4299,,Geelong,VI,3220,Jeremy Miller,0459474340,,flythedream@skythrills.com.au,www.skythrills.com.au,2009 Super Decathlon with high performance aircraft joining the fleet frequently,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics","We are Australia\'s Emergency Manoeuvre Training Specialists, we also specialize in teaching and coaching aerobatics for recreation, competition and airshows, formation and tailwheel endorsements, as well as Abinitio to Commercial.","YLED -- Lethbridge, VIC",Australia,""
158,Lone Star Flying Circus,2410 Conifer Drive,,Euless,TX,76039,David L Roy,469-371-3179,,info@lonestarflyingcircus.com,www.LoneStarFlyingCircus.com,Bellanca Citabria 7KCAB,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,"ADS -- Addison/Dallas, TX",USA,""
159,"Flugschule Charterflug Gregor Stanhke, Altenburg",Muehlweg 4b,Lugau OT Erlbach-Kirchberg,Saxonia,Ge,D-09385,Gregor Stahnke,+491723707423,,info@aerobatic.de,http://www.aerobatic.de,"Zlin Z 526F; Yak 50, 52, 54, 55; Sukhoi Su-29","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",,"AOC -- Altenburg, ",Germany,""
160,East Coast Aero Club,200 Hanscom Drive,,Bedford,MA,01730,Marc Nathanson,781.274.6322,781.274.7221,ecacbed@yahoo.com,www.eastcoastaeroclub.com,2012 Super Decathlog,"",We can also check you out in your aircraft to include such aircraft as the Extra and Stearman,"BED -- Bedford, MA",USA,""
161,Lynn Aviation,224 Bernie Trail,,Nicholasville,KY,40356,JW Lynn,859.583.3361,,jwlynnav@hotmail.com,,Cessna 150C tailwheel,"Tailwheel endorsement, Stall/spin recovery",,"DVK -- Danville, KY",USA,""
162,Max G Aviation,2450 Embarcadero Way,,Palo Alto,CA,94303,Jerod Floht,432.213.5189,,jerod@maxgaviation.com,www.maxgaviation.com,"Decathlow, Extra 300L","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",,"PAO -- Palo Alto, CA",USA,""
163,Patty Wagstaff Aerobatic School,3501B North Ponce de Leon Blvd #397,,St. Augustine,FL,32084,Patty Wagstaff,904.806.5778,,pattyaerobatics@gmail.com,pattywagstaff.com,"Extra 300L, Super Decathlon","Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",,"SGJ -- St. Augustine, FL",USA,""
164,Aspen Flying Club,"13000 East Control Tower Road, K16",,Englewood,CO,80122,Chris Dillis,303.799.6794,,fly@aspenflyingclub.com,aspenflyingclub.com,"Citabria, Super Decathlon Xtreme","Tailwheel endorsement, Basic aerobatics","Flight training in our Citabria and Super Decathlon Xtreme, all aircraft available for solo rental","KAPA -- Centennial, CO",USA,""
165,Aeroklub Brno-Slatina,,,,,,Boris Lenert,420603704692,,borisl@volny.cz,,,"",,"LKTB -- Brno-Slatina, ",Czech Republic,Boris Lenert: CFI-A
166,Berz Flight Training,49741 Shelby Road,,Shelby Township,MI,48317,Don Weaver,586.731.6750,,dweaver@flyberz.com,www.flyberz.com,Pitts S2B,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",,"57D -- Ray Township, MI",USA,""
167,Rocky Mountain Airsports LLC,480 County Road,,Woodland Park,CO,80863,Gregory Baker,804.815.4891,,Fly@RockyMountainAirsports.com,RockyMountainAirsports.com,Pitts S2,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics",,"KCOS -- Colorado Springs, CO",USA,""
168,"Volare, Inc.",3623 Old Charleston Road,,Charleston,SC,29414,Pontel Williams,828.302.3853,,N6146F@gmail.com,volareinc.com,Cessna 150 Aerobat,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,"KJZI -- Charleston, SC",USA,""
169,Walter Aviation Inc.,1684 230th Street,PO Box 214,Independence,IA,50644,Jonathan Walter,319.334.4000,,jon@walteraviation.com,walteraviation.com,Citabria 7GCAA,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",,"KIIB -- Independence, IA",USA,""
170,Wrong Bros Flight Training Wing,9750 Aileron Avenue,,Pensacola,FL,32506,Carrie Hall,850.453.4181,,flyus@fergusonairport.com,wrongbrosftw.com,"American Legend Cub, Piper Warrior PA28-161, Cessna 182, Super Decathlon","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,"82J -- Pensacola, FL",USA,""
171,Bad Attitude - Aviator Training Company,9713 McAllister Road,,Lisbon,OH,44432,John Dye,216.832.4733,,badattitude.11c@gmail.com,badattitude11c.com,"8KCAB Super Decathlon, Extra 200","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,"38D -- Salem, OH",USA,"Tyler Khan: FI-A, Billy Shugart: CFI"
172,T Black Aviation,5875 Fairchild Drive,Suite 207,Clearwater,FL,33762,Thomas Black,727.669.5756,,tbaviation@earthlink.net,tblackaviation.com,Bellanca Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,"PIE -- Clearwater, FL",USA,""
173,Aero Club Milano,Via Gramsci 1,,Bresso,Mi,,Luca Salvadori,+39.02.6101625,,LSalv@aeroclubmilano.it,aeroclubmilano.it,"CP10, CP21, EA300","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics","Established 1926, Aero Club Milano is the most known aerobatic center in Italy.  Coached by Sergio Dallan, we are able to train any pilot up to unlimited category.  Coaching available also for aerobatic aircraft owners.","LIMB -- Bressa, Milano, ",Italy,Luca Salvadori
174,First Flight,"1200 Airport Blve, #2",,Oshawa,On,L1J8P5,Dez Lightbody,905.809.3360,,deswillflybye@gmail.com,,Pitts S2A Certified,"Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics","Intro and 5 flight package special with Go-Pro Video and smoke available, open or full canopy cockpit","ONT -- Oshawa, Ontario",Canada,Desmond Lightbody: FI-A
176,Advanced Flight Dynamics,701 Salmon Avenue,,Redmond,OR,97756,Mike Kloch,541.604.2331,,info@FlyAFD.com,flyAFD.com,,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",,"KRDM -- Redmond, OR",USA,"Mike Kloch: CFI-A, David Robinson: CFI-A, Sean VanHatten: CFI-A"
177,Upsey Daisey,2701 Spence Place,,Knoxville,TN,37920,Gary Sumner,865.560.6599,,garysumner@bellsouth.net,,Robin 2160,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics","Fly in a rare (currently only two in the eastern US), tricycle landing gear, side by side aerobatic trainer. Specializing in first and low time aerobatic students. (Pilot license not required.) Emergency maneuver and CFI spin certification.","DKX -- Knoxville, TN",USA,Gary Sumner: CFI
178,Prevailance Aerospace Safety Academy,"4768 Euclid Road, Suite 103",,Virginia Beach,VA,23462,Vanessa Christie,757.309.4572,757.309.4574,vanessa.christie@prevailanceaerospace.com,www.prevailanceaerospace.com,"Extra330LX, Citabria","",,"CPK -- Chesapeake, VA",USA,""
